제품코드,수량,송장 번호
D102,2,a318061310001
C107,4,a318061410001
D107,3,a318061410001
E104,6,a318061410001
A104,7,a318061410001
A107,5,a318061510001
D105,3,a318061510001
A109,6,a318061510001
C107,3,a318061510001
A110,2,a318062110001
E102,2,a318062110001
E104,3,a318062110001
A105,3,a318062110001
C101,1,a318062610003
D106,3,a318062610003
C108,1,a318062610003
B105,7,a318062610003
B107,2,a318062710003
E102,1,a318062710003
A106,4,a318062710003
A103,3,a318062710003
D105,2,a318062810003
E105,4,a318062810003
E102,3,a318062810003
C104,6,a318062810003
A107,7,a318070310001
D105,2,a318070310001
E105,3,a318070310001
A104,3,a318070310001
B103,1,a318070710001
C102,3,a318070710001
E105,1,a318070710001
A104,7,a318070710001
A109,2,a318070710002
A101,1,a318070710002
D103,4,a318070710002
D101,3,a318070710002
B107,2,a318070810001
E102,4,a318070810001
E101,3,a318070810001
A103,6,a318070810001
C102,7,a318070810002
A105,5,a318070810002
A106,2,a318070810002
C106,1,a318070810002
C107,4,a318070910001
E103,4,a318070910001
C105,2,a318070910001
C108,1,a318070910001
D109,2,a318071410001
D107,2,a318071410001
A107,3,a318071410001
A103,4,a318071410001
C102,2,a318071410002
E104,2,a318071410002
C107,1,a318071410002
B103,2,a318071410002
B104,3,a318071710001
A104,1,a318071710001
A107,4,a318071710001
A105,2,a318071710001
E103,4,a318071710002
D103,6,a318071710002
D108,3,a318071710002
D104,5,a318071710002
A105,2,a318071810002
A102,5,a318071810002
A103,7,a318071810002
B106,5,a318071810002
C104,4,a318080410002
B101,2,a318080410002
A105,3,a318080410002
C102,4,a318080410002
B105,5,a318080710002
A108,2,a318080710002
A110,7,a318080710002
D108,5,a318080710002
A108,4,a318082410001
E102,3,a318082410001
B105,7,a318082410001
A105,4,a318082410001
E102,5,a318082810001
B104,3,a318082810001
A110,2,a318082810001
C103,5,a318082810001
B107,5,a318082910001
D108,2,a318082910001
E103,8,a318082910001
A110,2,a318082910001
E101,3,a318083010001
C103,4,a318083010001
E104,3,a318083010001
D103,3,a318083010001
C101,7,a318091110003
B105,3,a318091110003
C104,2,a318091110003
D102,1,a318091110003
C107,1,a318091410003
D107,3,a318091410003
E104,3,a318091410003
A104,2,a318091410003
A107,4,a318091810003
D105,4,a318091810003
A109,4,a318091810003
C107,3,a318091810003
A110,2,a318091910003
E102,4,a318091910003
E104,5,a318091910003
A105,7,a318091910003
C101,6,a318092010003
D106,3,a318092010003
C108,2,a318092010003
B105,3,a318092010003
B107,7,a318092410003
E102,1,a318092410003
A106,3,a318092410003
A103,2,a318092410003
D105,2,a318092510003
E105,4,a318092510003
E102,7,a318092510003
C104,5,a318092510003
A107,4,a318092710003
D105,3,a318092710003
E105,9,a318092710003
A104,2,a318092710003
B103,3,a318100110001
C102,1,a318100110001
E105,4,a318100110001
A104,2,a318100110001
A109,1,a318100310003
A101,3,a318100310003
D103,3,a318100310003
D101,5,a318100310003
B107,4,a318100410003
E102,1,a318100410003
E101,2,a318100410003
A103,1,a318100410003
C102,3,a318100510003
A105,5,a318100510003
A106,4,a318100510003
C106,2,a318100510003
C107,3,a318101010003
E103,6,a318101010003
C105,4,a318101010003
C108,2,a318101010003
D109,3,a318101310003
D107,3,a318101310003
A107,4,a318101310003
A103,3,a318101310003
C102,5,a318101710003
E104,4,a318101710003
C107,2,a318101710003
B103,5,a318101710003
B104,2,a318101810003
A104,3,a318101810003
A107,3,a318101810003
A105,1,a318101810003
E103,3,a318101910003
D103,1,a318101910003
D108,7,a318101910003
D104,2,a318101910003
A105,1,a318102310003
A102,4,a318102310003
A103,3,a318102310003
B106,2,a318102310003
C104,4,a318102410003
B101,3,a318102410003
A105,6,a318102410003
C102,7,a318102410003
B105,5,a318102610003
A108,3,a318102610003
A110,6,a318102610003
D108,3,a318102610003
A108,2,a318110110002
E102,2,a318110110002
B105,3,a318110110002
A105,3,a318110110002
E102,1,a318111910001
B104,3,a318111910001
A110,1,a318111910001
C103,7,a318111910001
B107,2,a318112210001
D108,5,a318112210001
E103,2,a318112210001
A110,1,a318112210001
E101,4,a318112410001
C103,4,a318112410001
E104,2,a318112410001
D103,1,a318112410001
C101,2,a318112510001
B105,2,a318112510001
C104,3,a318112510001
D102,4,a318112510001
C107,2,a318112610001
D107,2,a318112610001
E104,1,a318112610001
A104,2,a318112610001
A107,3,a318113010001
D105,1,a318113010001
A109,4,a318113010001
C107,2,a318113010001
A110,4,a318120310001
E102,6,a318120310001
E104,3,a318120310001
A105,5,a318120310001
C101,2,a318120410001
D106,5,a318120410001
C108,7,a318120410001
B105,5,a318120410001
B107,4,a318121010001
E102,2,a318121010001
A106,3,a318121010001
A103,4,a318121010001
D105,5,a318121310001
E105,2,a318121310001
E102,7,a318121310001
C104,5,a318121310001
A107,4,a318121410001
D105,3,a318121410001
E105,7,a318121410001
A104,4,a318121410001
B103,5,a318121810001
C102,3,a318121810001
E105,2,a318121810001
A104,5,a318121810001
A109,5,a318122110001
A101,2,a318122110001
D103,8,a318122110001
D101,2,a318122110001
B107,3,a318122310001
E102,4,a318122310001
E101,3,a318122310001
A103,3,a318122310001
C102,7,a318122410001
A105,3,a318122410001
A106,2,a318122410001
C106,1,a318122410001
C107,1,a319010210003
E103,3,a319010210003
C105,3,a319010210003
C108,2,a319010210003
D109,4,a319010510003
D107,4,a319010510003
A107,4,a319010510003
A103,3,a319010510003
C102,2,a319010610003
E104,4,a319010610003
C107,5,a319010610003
B103,7,a319010610003
B104,6,a319011710002
A104,3,a319011710002
A107,2,a319011710002
A105,3,a319011710002
E103,7,a319011910002
D103,1,a319011910002
D108,3,a319011910002
D104,2,a319011910002
B107,2,a319012010002
D108,4,a319012010002
E103,7,a319012010002
A110,5,a319012010002
E101,4,a319012110002
C103,3,a319012110002
E104,9,a319012110002
D103,2,a319012110002
C101,3,a319012510002
B105,1,a319012510002
C104,4,a319012510002
D102,2,a319012510002
C107,1,a319012610002
D107,3,a319012610002
E104,3,a319012610002
A104,5,a319012610002
A107,4,a319012810002
D105,1,a319012810002
A109,2,a319012810002
C107,1,a319012810002
A110,3,a319012910002
E102,5,a319012910002
E104,4,a319012910002
A105,2,a319012910002
C101,3,a319013110003
D106,6,a319013110003
C108,4,a319013110003
B105,2,a319013110003
B107,3,a319020310001
E102,3,a319020310001
A106,4,a319020310001
A103,3,a319020310001
D105,5,a319020610001
E105,4,a319020610001
E102,2,a319020610001
C104,5,a319020610001
A107,2,a319021010001
D105,3,a319021010001
E105,3,a319021010001
A104,1,a319021010001
B103,3,a319021910003
C102,1,a319021910003
E105,7,a319021910003
A104,2,a319021910003
A109,1,a319022310003
A101,4,a319022310003
D103,3,a319022310003
D101,2,a319022310003
B107,4,a319022410003
E102,3,a319022410003
E101,6,a319022410003
A103,7,a319022410003
C102,5,a319022510003
A105,3,a319022510003
A106,6,a319022510003
C106,3,a319022510003
C107,2,a319030210001
E103,2,a319030210001
C105,3,a319030210001
C108,3,a319030210001
D109,1,a319030510001
D107,3,a319030510001
A107,1,a319030510001
A103,7,a319030510001
C102,2,a319030910001
E104,5,a319030910001
C107,2,a319030910001
B103,1,a319030910001
B104,4,a319031010001
A104,4,a319031010001
A107,2,a319031010001
A105,1,a319031010001
E103,2,a319031110001
D103,2,a319031110001
D108,3,a319031110001
D104,4,a319031110001
A105,2,a319040210003
A102,2,a319040210003
A103,1,a319040210003
B106,2,a319040210003
C104,3,a319040910002
B101,1,a319040910002
A105,4,a319040910002
C102,2,a319040910002
B105,4,a319041310002
A108,6,a319041310002
A110,3,a319041310002
D108,5,a319041310002
A108,2,a319041610002
E102,5,a319041610002
B105,7,a319041610002
A105,5,a319041610002
E102,4,a319041710002
B104,2,a319041710002
A110,3,a319041710002
C103,4,a319041710002
B107,5,a319041810002
D108,2,a319041810002
E103,7,a319041810002
A110,5,a319041810002
E101,4,a319042410002
C103,3,a319042410002
E104,7,a319042410002
D103,4,a319042410002
C101,5,a319042710002
B105,3,a319042710002
C104,2,a319042710002
D102,5,a319042710002
C107,5,a319042810002
D107,2,a319042810002
E104,8,a319042810002
A104,2,a319042810002
A107,3,a319051210003
D105,4,a319051210003
A109,3,a319051210003
C107,3,a319051210003
A110,7,a417020510002
E102,3,a417020510002
E104,2,a417020510002
A105,1,a417020510002
C101,1,a417020710002
D106,3,a417020710002
C108,3,a417020710002
B105,2,a417020710002
B107,4,a417020910002
E102,4,a417020910002
A106,4,a417020910002
A103,3,a417020910002
D105,2,a417021110002
E105,4,a417021110002
E102,5,a417021110002
C104,7,a417021110002
A107,6,a417021810001
D105,3,a417021810001
E105,2,a417021810001
A104,3,a417021810001
B103,7,a417022210001
C102,1,a417022210001
E105,3,a417022210001
A104,2,a417022210001
A109,2,a417022510001
A101,4,a417022510001
D103,7,a417022510001
D101,5,a417022510001
B107,4,a417022710001
E102,3,a417022710001
E101,9,a417022710001
A103,2,a417022710001
C102,3,a417022810001
A105,1,a417022810001
A106,4,a417022810001
C106,2,a417022810001
C107,1,a417030110003
E103,3,a417030110003
C105,3,a417030110003
C108,5,a417030110003
D109,4,a417030210003
D107,1,a417030210003
A107,2,a417030210003
A103,1,a417030210003
C102,3,a417030310003
E104,5,a417030310003
C107,4,a417030310003
B103,2,a417030310003
B104,3,a417031010003
A104,6,a417031010003
A107,4,a417031010003
A105,2,a417031010003
E103,3,a417031110003
D103,3,a417031110003
D108,4,a417031110003
D104,3,a417031110003
B107,5,a417031910002
D108,4,a417031910002
E103,2,a417031910002
A110,5,a417031910002
E101,2,a417032010002
C103,3,a417032010002
E104,3,a417032010002
D103,1,a417032010002
C101,2,a417032510002
B105,5,a417032510002
C104,2,a417032510002
D102,1,a417032510002
C107,4,a417033010002
D107,4,a417033010002
E104,2,a417033010002
A104,1,a417033010002
A107,2,a417040410001
D105,2,a417040410001
A109,3,a417040410001
C107,4,a417040410001
A110,2,a417040910001
E102,2,a417040910001
E104,1,a417040910001
A105,2,a417040910001
C101,3,a417041010001
D106,1,a417041010001
C108,4,a417041010001
B105,2,a417041010001
B107,4,a417041310001
E102,6,a417041310001
A106,3,a417041310001
A103,5,a417041310001
D105,2,a417042010001
E105,5,a417042010001
E102,7,a417042010001
C104,5,a417042010001
A107,4,a417042510001
D105,2,a417042510001
E105,3,a417042510001
A104,4,a417042510001
B103,5,a417042610001
C102,2,a417042610001
E105,7,a417042610001
A104,5,a417042610001
A109,4,a417042710001
A101,3,a417042710001
D103,7,a417042710001
D101,4,a417042710001
B107,5,a417050110002
E102,3,a417050110002
E101,2,a417050110002
A103,5,a417050110002
C102,5,a417050110003
A105,2,a417050110003
A106,8,a417050110003
C106,2,a417050110003
C107,3,a417050210002
E103,4,a417050210002
C105,3,a417050210002
C108,3,a417050210002
D109,7,a417050210003
D107,3,a417050210003
A107,2,a417050210003
A103,1,a417050210003
C102,1,a417050810002
E104,3,a417050810002
C107,3,a417050810002
B103,2,a417050810002
B104,4,a417051310002
A104,4,a417051310002
A107,4,a417051310002
A105,3,a417051310002
E103,2,a417051810002
D103,4,a417051810002
D108,5,a417051810002
D104,7,a417051810002
A105,6,a417052310002
A102,3,a417052310002
A103,2,a417052310002
B106,3,a417052310002
C104,7,a417053010002
B101,1,a417053010002
A105,3,a417053010002
C102,2,a417053010002
B105,2,a417053110002
A108,4,a417053110002
A110,7,a417053110002
D108,5,a417053110002
A108,4,a417071110003
E102,3,a417071110003
B105,9,a417071110003
A105,2,a417071110003
E102,3,a417071410003
B104,1,a417071410003
A110,4,a417071410003
C103,2,a417071410003
B107,1,a417071910003
D108,3,a417071910003
E103,3,a417071910003
A110,5,a417071910003
E101,4,a417072810003
C103,1,a417072810003
E104,2,a417072810003
D103,1,a417072810003
C101,3,a417080210001
B105,5,a417080210001
C104,4,a417080210001
D102,2,a417080210001
C107,3,a417080410001
D107,6,a417080410001
E104,4,a417080410001
A104,2,a417080410001
A107,3,a417080510001
D105,3,a417080510001
A109,4,a417080510001
C107,3,a417080510001
A110,5,a417081210003
E102,4,a417081210003
E104,2,a417081210003
A105,5,a417081210003
C101,2,a417081510003
D106,3,a417081510003
C108,3,a417081510003
B105,1,a417081510003
B107,3,a417081910003
E102,1,a417081910003
A106,7,a417081910003
A103,2,a417081910003
D105,1,a417082010003
E105,4,a417082010003
E102,3,a417082010003
C104,2,a417082010003
A107,4,a417082110003
D105,3,a417082110003
E105,6,a417082110003
A104,7,a417082110003
B103,5,a417082510003
C102,3,a417082510003
E105,6,a417082510003
A104,3,a417082510003
A109,2,a417082610003
A101,2,a417082610003
D103,3,a417082610003
D101,3,a417082610003
B107,1,a417082810003
E102,3,a417082810003
E101,1,a417082810003
A103,7,a417082810003
C102,2,a417090110002
A105,1,a417090110002
A106,4,a417090110002
C106,3,a417090110002
C107,2,a417090210002
E103,4,a417090210002
C105,3,a417090210002
C108,6,a417090210002
D109,7,a417091510001
D107,2,a417091510001
A107,3,a417091510001
A103,3,a417091510001
C102,1,a417091610001
E104,3,a417091610001
C107,1,a417091610001
B103,7,a417091610001
B104,2,a417092010001
A104,1,a417092010001
A107,4,a417092010001
A105,3,a417092010001
E103,2,a417092310001
D103,4,a417092310001
D108,3,a417092310001
D104,6,a417092310001
B107,7,a417092510001
D108,5,a417092510001
E103,2,a417092510001
A110,1,a417092510001
E101,4,a417092610001
C103,4,a417092610001
E104,2,a417092610001
D103,1,a417092610001
C101,2,a417092710001
B105,2,a417092710001
C104,3,a417092710001
D102,4,a417092710001
C107,2,a417100510001
D107,2,a417100510001
E104,1,a417100510001
A104,2,a417100510001
A107,3,a417100810001
D105,1,a417100810001
A109,4,a417100810001
C107,2,a417100810001
A110,4,a417101210001
E102,6,a417101210001
E104,3,a417101210001
A105,5,a417101210001
C101,2,a417101310001
D106,5,a417101310001
C108,7,a417101310001
B105,5,a417101310001
B107,4,a417101410001
E102,2,a417101410001
A106,3,a417101410001
A103,4,a417101410001
D105,5,a417101810001
E105,2,a417101810001
E102,7,a417101810001
C104,5,a417101810001
A107,4,a417101910001
D105,3,a417101910001
E105,7,a417101910001
A104,4,a417101910001
B103,5,a417102110001
C102,3,a417102110001
E105,2,a417102110001
A104,5,a417102110001
A109,5,a417102510001
A101,2,a417102510001
D103,8,a417102510001
D101,2,a417102510001
B107,3,a417102810001
E102,4,a417102810001
E101,3,a417102810001
A103,3,a417102810001
C102,7,a417102910001
A105,3,a417102910001
A106,2,a417102910001
C106,1,a417102910001
C107,1,a417110110003
E103,3,a417110110003
C105,3,a417110110003
C108,2,a417110110003
D109,4,a417110510003
D107,4,a417110510003
A107,4,a417110510003
A103,3,a417110510003
C102,2,a417110810003
E104,4,a417110810003
C107,5,a417110810003
B103,7,a417110810003
B104,6,a417111010003
A104,3,a417111010003
A107,2,a417111010003
A105,3,a417111010003
E103,7,a417111110003
D103,1,a417111110003
D108,3,a417111110003
D104,2,a417111110003
A105,2,a417111210003
A102,4,a417111210003
A103,7,a417111210003
B106,5,a417111210003
C104,4,a417112710002
B101,3,a417112710002
A105,9,a417112710002
C102,2,a417112710002
B105,3,a417113010002
A108,1,a417113010002
A110,4,a417113010002
D108,2,a417113010002
A108,1,a417120310003
E102,3,a417120310003
B105,3,a417120310003
A105,5,a417120310003
E102,4,a417120610003
B104,1,a417120610003
A110,2,a417120610003
C103,1,a417120610003
B107,3,a417122310002
D108,5,a417122310002
E103,4,a417122310002
A110,2,a417122310002
E101,3,a417122610003
C103,6,a417122610003
E104,4,a417122610003
D103,2,a417122610003
C101,3,a417122710002
B105,3,a417122710002
C104,4,a417122710002
D102,3,a417122710002
C107,5,a417122710003
D107,4,a417122710003
E104,2,a417122710003
A104,5,a417122710003
A107,2,a417122810002
D105,3,a417122810002
A109,3,a417122810002
C107,1,a417122810002
A110,3,a417122810003
E102,1,a417122810003
E104,7,a417122810003
A105,2,a417122810003
C101,1,a417122910002
D106,4,a417122910002
C108,3,a417122910002
B105,2,a417122910002
B107,4,a418010310001
E102,3,a418010310001
A106,6,a418010310001
A103,7,a418010310001
D105,5,a418010610001
E105,3,a418010610001
E102,6,a418010610001
C104,3,a418010610001
A107,2,a418010710001
D105,2,a418010710001
E105,3,a418010710001
A104,3,a418010710001
B103,1,a418011110001
C102,3,a418011110001
E105,1,a418011110001
A104,7,a418011110001
A109,2,a418011310003
A101,5,a418011310003
D103,2,a418011310003
D101,1,a418011310003
B107,4,a418011510003
E102,4,a418011510003
E101,2,a418011510003
A103,1,a418011510003
C102,2,a418011910003
A105,2,a418011910003
A106,3,a418011910003
C106,4,a418011910003
C107,2,a418012210003
E103,2,a418012210003
C105,1,a418012210003
C108,2,a418012210003
D109,3,a418012310003
D107,1,a418012310003
A107,4,a418012310003
A103,2,a418012310003
C102,4,a418012410003
E104,6,a418012410003
C107,3,a418012410003
B103,5,a418012410003
B104,2,a418013010003
A104,5,a418013010003
A107,7,a418013010003
A105,5,a418013010003
E103,4,a418020210001
D103,2,a418020210001
D108,3,a418020210001
D104,4,a418020210001
B107,5,a418020310001
D108,2,a418020310001
E103,7,a418020310001
A110,5,a418020310001
E101,4,a418030810002
C103,3,a418030810002
E104,7,a418030810002
D103,4,a418030810002
C101,5,a418031110002
B105,3,a418031110002
C104,2,a418031110002
D102,5,a418031110002
C107,5,a418031210003
D107,2,a418031210003
E104,8,a418031210003
A104,2,a418031210003
A107,3,a418031310003
D105,4,a418031310003
A109,3,a418031310003
C107,3,a418031310003
A110,7,a418031410002
E102,3,a418031410002
E104,2,a418031410002
A105,1,a418031410002
C101,1,a418031410003
D106,3,a418031410003
C108,3,a418031410003
B105,2,a418031410003
B107,4,a418031610003
E102,4,a418031610003
A106,4,a418031610003
A103,3,a418031610003
D105,2,a418031710003
E105,4,a418031710003
E102,5,a418031710003
C104,7,a418031710003
A107,6,a418031810002
D105,3,a418031810002
E105,2,a418031810002
A104,3,a418031810002
B103,7,a418031810003
C102,1,a418031810003
E105,3,a418031810003
A104,2,a418031810003
A109,2,a418032210002
A101,4,a418032210002
D103,7,a418032210002
D101,5,a418032210002
B107,4,a418032210003
E102,3,a418032210003
E101,9,a418032210003
A103,2,a418032210003
C102,3,a418032310002
A105,1,a418032310002
A106,4,a418032310002
C106,2,a418032310002
C107,1,a418032310003
E103,3,a418032310003
C105,3,a418032310003
C108,5,a418032310003
D109,4,a418032410002
D107,1,a418032410002
A107,2,a418032410002
A103,1,a418032410002
C102,3,a418032510002
E104,5,a418032510002
C107,4,a418032510002
B103,2,a418032510002
B104,3,a418032510003
A104,6,a418032510003
A107,4,a418032510003
A105,2,a418032510003
E103,3,a418032610003
D103,3,a418032610003
D108,4,a418032610003
D104,3,a418032610003
A105,5,a418033010003
A102,4,a418033010003
A103,2,a418033010003
B106,5,a418033010003
C104,2,a418040210003
B101,3,a418040210003
A105,3,a418040210003
C102,1,a418040210003
B105,3,a418040610003
A108,1,a418040610003
A110,7,a418040610003
D108,2,a418040610003
A108,1,a418040910003
E102,4,a418040910003
B105,3,a418040910003
A105,2,a418040910003
E102,4,a418041210003
B104,3,a418041210003
A110,6,a418041210003
C103,7,a418041210003
B107,5,a418041610003
D108,3,a418041610003
E103,6,a418041610003
A110,3,a418041610003
E101,2,a418042010003
C103,2,a418042010003
E104,3,a418042010003
D103,3,a418042010003
C101,1,a418042110003
B105,3,a418042110003
C104,1,a418042110003
D102,7,a418042110003
C107,2,a418042210003
D107,5,a418042210003
E104,2,a418042210003
A104,1,a418042210003
A107,4,a418042310003
D105,4,a418042310003
A109,2,a418042310003
C107,1,a418042310003
A110,2,a418060210002
E102,2,a418060210002
E104,3,a418060210002
A105,4,a418060210002
C101,2,a418060410002
D106,2,a418060410002
C108,1,a418060410002
B105,2,a418060410002
B107,3,a418060510002
E102,1,a418060510002
A106,4,a418060510002
A103,2,a418060510002
D105,4,a418060610002
E105,6,a418060610002
E102,3,a418060610002
C104,5,a418060610002
A107,2,a418061010002
D105,5,a418061010002
E105,7,a418061010002
A104,5,a418061010002
B103,4,a418061110002
C102,2,a418061110002
E105,3,a418061110002
A104,4,a418061110002
A109,5,a418062410001
A101,2,a418062410001
D103,7,a418062410001
D101,5,a418062410001
B107,4,a418062510001
E102,3,a418062510001
E101,7,a418062510001
A103,4,a418062510001
C102,5,a418062910001
A105,3,a418062910001
A106,2,a418062910001
C106,5,a418062910001
C107,5,a418070210003
E103,2,a418070210003
C105,8,a418070210003
C108,2,a418070210003
D109,3,a418070310002
D107,4,a418070310002
A107,3,a418070310002
A103,3,a418070310002
C102,7,a418070310003
E104,3,a418070310003
C107,2,a418070310003
B103,1,a418070310003
B104,1,a418070510003
A104,3,a418070510003
A107,3,a418070510003
A105,2,a418070510003
E103,4,a418070610002
D103,4,a418070610002
D108,4,a418070610002
D104,3,a418070610002
B107,2,a418070610003
D108,4,a418070610003
E103,5,a418070610003
A110,7,a418070610003
E101,6,a418071010003
C103,3,a418071010003
E104,2,a418071010003
D103,3,a418071010003
C101,7,a418072110001
B105,1,a418072110001
C104,3,a418072110001
D102,2,a418072110001
C107,2,a418072210001
D107,4,a418072210001
E104,7,a418072210001
A104,5,a418072210001
A107,4,a418072210002
D105,3,a418072210002
A109,9,a418072210002
C107,2,a418072210002
A110,3,a418072310001
E102,1,a418072310001
E104,4,a418072310001
A105,2,a418072310001
C101,1,a418072510002
D106,3,a418072510002
C108,3,a418072510002
B105,5,a418072510002
B107,4,a418072710001
E102,1,a418072710001
A106,2,a418072710001
A103,1,a418072710001
D105,3,a418072710002
E105,5,a418072710002
E102,4,a418072710002
C104,2,a418072710002
A107,3,a418072810001
D105,6,a418072810001
E105,4,a418072810001
A104,2,a418072810001
B103,3,a418072810002
C102,3,a418072810002
E105,4,a418072810002
A104,3,a418072810002
A109,5,a418072910002
A101,4,a418072910002
D103,2,a418072910002
D101,5,a418072910002
B107,2,a418073010001
E102,3,a418073010001
E101,3,a418073010001
A103,1,a418073010001
C102,3,a418080410003
A105,1,a418080410003
A106,7,a418080410003
C106,2,a418080410003
C107,1,a418081110002
E103,4,a418081110002
C105,3,a418081110002
C108,2,a418081110002
D109,4,a418081210002
D107,3,a418081210002
A107,6,a418081210002
A103,7,a418081210002
C102,5,a418081310002
E104,3,a418081310002
C107,6,a418081310002
B103,3,a418081310002
B104,2,a418081710002
A104,2,a418081710002
A107,3,a418081710002
A105,3,a418081710002
E103,1,a418081810002
D103,3,a418081810002
D108,1,a418081810002
D104,7,a418081810002
A105,2,a418082010002
A102,5,a418082010002
A103,2,a418082010002
B106,1,a418082010002
C104,4,a418082410002
B101,4,a418082410002
A105,2,a418082410002
C102,1,a418082410002
B105,2,a418082710002
A108,2,a418082710002
A110,3,a418082710002
D108,4,a418082710002
A108,2,a418082810002
E102,2,a418082810002
B105,1,a418082810002
A105,2,a418082810002
E102,3,a418082910002
B104,1,a418082910002
A110,4,a418082910002
C103,2,a418082910002
B107,4,a418100410001
D108,6,a418100410001
E103,3,a418100410001
A110,5,a418100410001
E101,2,a418100510001
C103,5,a418100510001
E104,7,a418100510001
D103,5,a418100510001
C101,4,a418100610001
B105,2,a418100610001
C104,3,a418100610001
D102,4,a418100610001
C107,5,a418101210001
D107,2,a418101210001
E104,7,a418101210001
A104,5,a418101210001
A107,4,a418101510001
D105,3,a418101510001
A109,7,a418101510001
C107,4,a418101510001
A110,5,a418101610001
E102,3,a418101610001
E104,2,a418101610001
A105,5,a418101610001
C101,5,a418102010001
D106,2,a418102010001
C108,8,a418102010001
B105,2,a418102010001
B107,3,a418103010003
E102,4,a418103010003
A106,3,a418103010003
A103,3,a418103010003
D105,7,a418110310001
E105,3,a418110310001
E102,2,a418110310001
C104,1,a418110310001
A107,1,a418110310002
D105,3,a418110310002
E105,3,a418110310002
A104,2,a418110310002
B103,4,a418110410001
C102,4,a418110410001
E105,4,a418110410001
A104,3,a418110410001
A109,2,a418110410002
A101,4,a418110410002
D103,5,a418110410002
D101,7,a418110410002
B107,6,a418110510001
E102,3,a418110510001
E101,2,a418110510001
A103,3,a418110510001
C102,7,a418110810002
A105,1,a418110810002
A106,3,a418110810002
C106,2,a418110810002
C107,2,a418111110001
E103,4,a418111110001
C105,7,a418111110001
C108,5,a418111110001
D109,4,a418111110002
D107,3,a418111110002
A107,9,a418111110002
A103,2,a418111110002
C102,3,a418111410001
E104,1,a418111410001
C107,4,a418111410001
B103,2,a418111410001
B104,1,a418111410002
A104,3,a418111410002
A107,3,a418111410002
A105,5,a418111410002
E103,4,a418111510001
D103,1,a418111510001
D108,2,a418111510001
D104,1,a418111510001
B107,3,a418111810002
D108,5,a418111810002
E103,4,a418111810002
A110,2,a418111810002
E101,3,a418112210002
C103,6,a418112210002
E104,4,a418112210002
D103,2,a418112210002
C101,3,a418120110002
B105,3,a418120110002
C104,4,a418120110002
D102,3,a418120110002
C107,5,a418120210002
D107,4,a418120210002
E104,2,a418120210002
A104,5,a418120210002
A107,2,a418120610002
D105,3,a418120610002
A109,3,a418120610002
C107,1,a418120610002
A110,3,a418120910002
E102,1,a418120910002
E104,7,a418120910002
A105,2,a418120910002
C101,1,a418121010002
D106,4,a418121010002
C108,3,a418121010002
B105,2,a418121010002
B107,4,a418121410002
E102,3,a418121410002
A106,6,a418121410002
A103,7,a418121410002
D105,5,a418121710002
E105,3,a418121710002
E102,6,a418121710002
C104,3,a418121710002
A107,2,a418122510001
D105,2,a418122510001
E105,3,a418122510001
A104,3,a418122510001
B103,1,a418122910001
C102,3,a418122910001
E105,1,a418122910001
A104,7,a418122910001
A109,2,a418123010001
A101,1,a418123010001
D103,4,a418123010001
D101,3,a418123010001
B107,2,a419011010003
E102,4,a419011010003
E101,3,a419011010003
A103,6,a419011010003
C102,7,a419011310003
A105,2,a419011310003
A106,3,a419011310003
C106,3,a419011310003
C107,1,a419011610003
E103,3,a419011610003
C105,1,a419011610003
C108,7,a419011610003
D109,2,a419012010003
D107,1,a419012010003
A107,4,a419012010003
A103,3,a419012010003
C102,2,a419012410003
E104,4,a419012410003
C107,3,a419012410003
B103,6,a419012410003
B104,7,a419012510003
A104,5,a419012510003
A107,2,a419012510003
A105,1,a419012510003
E103,4,a419012610003
D103,4,a419012610003
D108,2,a419012610003
D104,1,a419012610003
A105,2,a419012710003
A102,2,a419012710003
A103,3,a419012710003
B106,4,a419012710003
C104,2,a419020210002
B101,2,a419020210002
A105,1,a419020210002
C102,2,a419020210002
B105,3,a419020510002
A108,1,a419020510002
A110,4,a419020510002
D108,2,a419020510002
A108,4,a419021410001
E102,6,a419021410001
B105,3,a419021410001
A105,5,a419021410001
E102,2,a419021610001
B104,5,a419021610001
A110,7,a419021610001
C103,5,a419021610001
B107,4,a419021710001
D108,2,a419021710001
E103,3,a419021710001
A110,4,a419021710001
E101,5,a419021810001
C103,2,a419021810001
E104,7,a419021810001
D103,5,a419021810001
C101,4,a419022210001
B105,3,a419022210001
C104,7,a419022210001
D102,4,a419022210001
C107,5,a419022310001
D107,3,a419022310001
E104,2,a419022310001
A104,5,a419022310001
A107,5,a419022510001
D105,2,a419022510001
A109,8,a419022510001
C107,2,a419022510001
A110,3,a419022610001
E102,4,a419022610001
E104,3,a419022610001
A105,3,a419022610001
C101,7,a419030210002
D106,3,a419030210002
C108,2,a419030210002
B105,1,a419030210002
B107,1,a419030510002
E102,3,a419030510002
A106,3,a419030510002
A103,2,a419030510002
D105,4,a419031510001
E105,4,a419031510001
E102,4,a419031510001
C104,3,a419031510001
A107,2,a419031610001
D105,4,a419031610001
E105,5,a419031610001
A104,7,a419031610001
B103,6,a419031810001
C102,3,a419031810001
E105,2,a419031810001
A104,3,a419031810001
A109,7,a419032210001
A101,1,a419032210001
D103,3,a419032210001
D101,2,a419032210001
B107,2,a419032510001
E102,4,a419032510001
E101,7,a419032510001
A103,5,a419032510001
C102,4,a419032610001
A105,3,a419032610001
A106,9,a419032610001
C106,2,a419032610001
C107,3,a419032710001
E103,1,a419032710001
